Section,Content,Question,Options,Answer,Note
Kanji,昨日、新しい[辞書]を買いました。,[辞書]の読み方は何ですか。,"[""\u3058\u3057\u3087"", ""\u3058\u304d\u3087"", ""\u3061\u3057\u3087"", ""\u3061\u304d\u3087""]",A,辞書 (じしょ) means dictionary.
Kanji,この[道]をまっすぐ行ってください。,[道]の読み方は何ですか。,"[""\u307e\u3061"", ""\u307f\u3061"", ""\u304b\u3069"", ""\u3068\u3053\u308d""]",B,道 (みち) means road or street.
Kanji,[英語]の勉強は楽しいです。,[英語]の読み方は何ですか。,"[""\u3048\u3044\u3053"", ""\u3048\u3044\u3054"", ""\u3048\u3054"", ""\u3048\u3044\u304e\u3087""]",B,英語 (えいご) means English language.
Kanji,[朝]早く起きます。,[朝]の読み方は何ですか。,"[""\u3070\u3093"", ""\u3088\u308b"", ""\u3042\u3055"", ""\u3072\u308b""]",C,朝 (あさ) means morning.
Kanji,[手紙]を書いています。,[手紙]の読み方は何ですか。,"[""\u3066\u304c\u307f"", ""\u3066\u304b\u307f"", ""\u3057\u3085\u304c\u307f"", ""\u306f\u304c\u304d""]",A,手紙 (てがみ) means letter.
Vocabulary,寒いですから、コートを（　）ください。,（　）に入る言葉はどれですか。,"[""\u306f\u3044\u3066"", ""\u304b\u3076\u3063\u3066"", ""\u304d\u305b\u3066"", ""\u304d\u3066""]",D,Wearing a coat uses the verb 着る (きる). The te-form is きて.
Vocabulary,テストの（　）をします。,（　）に入る言葉はどれですか。,"[""\u3058\u3085\u3093\u3073"", ""\u3042\u3093\u3057\u3093"", ""\u3057\u3063\u3071\u3044"", ""\u306f\u3093\u305f\u3044""]",A,じゅんび (preparation) is the correct context for a test.
Vocabulary,（　）おなかがいっぱいです。,（　）に入る言葉はどれですか。,"[""\u307e\u3060"", ""\u3082\u3046"", ""\u3082\u3063\u3068"", ""\u305a\u3063\u3068""]",B,もう (already) indicates the state of being full.
Vocabulary,わからない言葉を辞書で（　）。,（　）に入る言葉はどれですか。,"[""\u306a\u3089\u3044\u307e\u3059"", ""\u304a\u3057\u3048\u307e\u3059"", ""\u3057\u3089\u3079\u307e\u3059"", ""\u304b\u3093\u304c\u3048\u307e\u3059""]",C,しらべます (to look up/investigate) is used with dictionaries.
Vocabulary,この料理は（　）おいしいです。,（　）に入る言葉はどれですか。,"[""\u305c\u3093\u305c\u3093"", ""\u3042\u307e\u308a"", ""\u3068\u3066\u3082"", ""\u305f\u3076\u3093""]",C,とても (very) is used for positive emphasis.
Grammar,日本（　）行きたいです。,（　）に入る助詞はどれですか。,"[""\u3092"", ""\u3078"", ""\u304c"", ""\u3068""]",B,The particle へ (or に) indicates direction/destination.
Grammar,明日、雨が（　）行きません。,（　）に入る言葉はどれですか。,"[""\u3075\u308c\u3070"", ""\u3075\u3063\u305f\u3089"", ""\u3075\u308b\u306a\u3089"", ""\u3075\u308b\u3068""]",B,～たら is the most common conditional for specific future events.
Grammar,ピアノを弾く（　）ができます。,（　）に入る言葉はどれですか。,"[""\u306e"", ""\u3053\u3068"", ""\u3082\u306e"", ""\u3068\u304d""]",B,Dictionary form + ことができる expresses potential/ability.
Grammar,田中さんに本を（　）ました。,（　）に入る言葉はどれですか。,"[""\u304b\u3057\u3066\u3042\u3052"", ""\u304b\u3057\u3066\u3082\u3089\u3048"", ""\u304b\u3057\u3066\u304f\u308c"", ""\u304b\u3057\u3066""]",A,～てあげる indicates doing something for someone else.
Grammar,来年、日本へ（　）と思っています。,（　）に入る言葉はどれですか。,"[""\u884c\u304f"", ""\u884c\u3053\u3046"", ""\u884c\u304d\u307e\u3059"", ""\u884c\u3063\u3066""]",B,Volitional form + と思っています expresses intention.
Reading,田中さんへ。お元気ですか。私は先週、家族と北海道へ行きました。北海道はとても涼しかったです。おいしい魚をたくさん食べました。それから、有名な公園へ行って、写真を撮りました。来年は沖縄へ行きたいです。また会いましょう。リーより。,リーさんは先週どこへ行きましたか。,"[""\u6c96\u7e04"", ""\u516c\u5712"", ""\u5317\u6d77\u9053"", ""\u30ec\u30b9\u30c8\u30e9\u30f3""]",C,The text says '先週、家族と北海道へ行きました'.
Reading,田中さんへ。お元気ですか。私は先週、家族と北海道へ行きました。北海道はとても涼しかったです。おいしい魚をたくさん食べました。それから、有名な公園へ行って、写真を撮りました。来年は沖縄へ行きたいです。また会いましょう。リーより。,北海道の天気はどうでしたか。,"[""\u6691\u304b\u3063\u305f"", ""\u5bd2\u304b\u3063\u305f"", ""\u6dbc\u3057\u304b\u3063\u305f"", ""\u96e8\u3060\u3063\u305f""]",C,The text says '北海道はとても涼しかったです'.
Reading,田中さんへ。お元気ですか。私は先週、家族と北海道へ行きました。北海道はとても涼しかったです。おいしい魚をたくさん食べました。それから、有名な公園へ行って、写真を撮りました。来年は沖縄へ行きたいです。また会いましょう。リーより。,リーさんは北海道で何を食べましたか。,"[""\u8089"", ""\u9b5a"", ""\u91ce\u83dc"", ""\u679c\u7269""]",B,The text says 'おいしい魚をたくさん食べました'.
Reading,田中さんへ。お元気ですか。私は先週、家族と北海道へ行きました。北海道はとても涼しかったです。おいしい魚をたくさん食べました。それから、有名な公園へ行って、写真を撮りました。来年は沖縄へ行きたいです。また会いましょう。リーより。,公園で何をしましたか。,"[""\u8d70\u308a\u307e\u3057\u305f"", ""\u98df\u3079\u307e\u3057\u305f"", ""\u5199\u771f\u3092\u64ae\u308a\u307e\u3057\u305f"", ""\u5bdd\u307e\u3057\u305f""]",C,The text says '公園へ行って、写真を撮りました'.
Reading,田中さんへ。お元気ですか。私は先週、家族と北海道へ行きました。北海道はとても涼しかったです。おいしい魚をたくさん食べました。それから、有名な公園へ行って、写真を撮りました。来年は沖縄へ行きたいです。また会いましょう。リーより。,リーさんは来年どこへ行きたいですか。,"[""\u5317\u6d77\u9053"", ""\u6c96\u7e04"", ""\u6771\u4eac"", ""\u5916\u56fd""]",B,The text says '来年は沖縄へ行きたいです'.
Listening,"男：すみません、カレーを一つとコーヒーを二つください。
女：はい。カレーは一つ、コーヒーは二つですね。
男：あ、すみません。コーヒーは一つにしてください。
女：わかりました。カレーが一つと、コーヒーが一つですね。",男の人は何を注文しましたか。,"[""\u30ab\u30ec\u30fc1\u3001\u30b3\u30fc\u30d2\u30fc2"", ""\u30ab\u30ec\u30fc2\u3001\u30b3\u30fc\u30d2\u30fc1"", ""\u30ab\u30ec\u30fc1\u3001\u30b3\u30fc\u30d2\u30fc1"", ""\u30ab\u30ec\u30fc2\u3001\u30b3\u30fc\u30d2\u30fc2""]",C,The man changed the coffee order from two to one.
Listening,"男：すみません、カレーを一つとコーヒーを二つください。
女：はい。カレーは一つ、コーヒーは二つですね。
男：あ、すみません。コーヒーは一つにしてください。
女：わかりました。カレーが一つと、コーヒーが一つですね。",コーヒーはいくつですか。,"[""\u4e00\u3064"", ""\u4e8c\u3064"", ""\u4e09\u3064"", ""\u56db\u3064""]",A,He corrected it to 'one' (一つ).
Listening,"男：すみません、カレーを一つとコーヒーを二つください。
女：はい。カレーは一つ、コーヒーは二つですね。
男：あ、すみません。コーヒーは一つにしてください。
女：わかりました。カレーが一つと、コーヒーが一つですね。",この会話はどこでしていますか。,"[""\u9280\u884c"", ""\u30ec\u30b9\u30c8\u30e9\u30f3"", ""\u75c5\u9662"", ""\u5b66\u6821""]",B,Ordering food and drinks happens at a restaurant.
Listening,"女：明日の会議は何時からですか。
男：10時からです。会議室Aでやります。
女：資料は持っていきますか。
男：はい、5枚持ってきてください。
女：わかりました。10時に会議室Aですね。",会議は何時に始まりますか。,"[""9\u6642"", ""10\u6642"", ""11\u6642"", ""12\u6642""]",B,The man says '10時からです'.
Listening,"女：明日の会議は何時からですか。
男：10時からです。会議室Aでやります。
女：資料は持っていきますか。
男：はい、5枚持ってきてください。
女：わかりました。10時に会議室Aですね。",会議はどこでありますか。,"[""\u4f1a\u8b70\u5ba4A"", ""\u4f1a\u8b70\u5ba4B"", ""\u53d7\u4ed8"", ""\u6559\u5ba4""]",A,The man specifies '会議室A'.
Listening,"女：明日の会議は何時からですか。
男：10時からです。会議室Aでやります。
女：資料は持っていきますか。
男：はい、5枚持ってきてください。
女：わかりました。10時に会議室Aですね。",資料は何枚必要ですか。,"[""3\u679a"", ""4\u679a"", ""5\u679a"", ""6\u679a""]",C,The man asks for '5枚' (5 sheets).
