Section,Content,Question,Options,Answer,Note
Kanji,"次の漢字のよみかたを えらんで ください。

水",この 漢字は なん と よみますか。,"[""\u307f\u305a"", ""\u3072"", ""\u304b\u308f"", ""\u3042\u3081""]",A,水 (みず) means water.
Kanji,"次の漢字のよみかたを えらんで ください。

人",この 漢字は なん と よみますか。,"[""\u3072\u3068"", ""\u3072\u3068\u3064"", ""\u3044\u3093"", ""\u3058\u3093""]",A,人 (ひと) means person.
Kanji,"次の漢字のよみかたを えらんで ください。

学校",この 漢字は なん と よみますか。,"[""\u304c\u3063\u3053\u3046"", ""\u304c\u3053"", ""\u3053\u3046\u3053\u3046"", ""\u3060\u3044\u304c\u304f""]",A,学校 (がっこう) means school.
Kanji,"次の漢字のよみかたを えらんで ください。

電話",この 漢字は なん と よみますか。,"[""\u3067\u3093\u308f"", ""\u3067\u3093"", ""\u305f\u3093"", ""\u3051\u3044\u305f\u3044""]",A,電話 (でんわ) means telephone.
Kanji,"次の漢字のよみかたを えらんで ください。

明日",この 漢字は なん と よみますか。,"[""\u3042\u3057\u305f"", ""\u304d\u306e\u3046"", ""\u304d\u3087\u3046"", ""\u3042\u3055""]",A,明日 (あした) means tomorrow.
Kanji,"次の漢字のよみかたを えらんで ください。

猫",この 漢字は なん と よみますか。,"[""\u306d\u3053"", ""\u3044\u306c"", ""\u3068\u308a"", ""\u306d""]",A,猫 (ねこ) means cat.
Kanji,"次の漢字のよみかたを えらんで ください。

車",この 漢字は なん と よみますか。,"[""\u304f\u308b\u307e"", ""\u3057\u3083"", ""\u3058\u3066\u3093\u3057\u3083"", ""\u30d0\u30b9""]",A,車 (くるま) means car.
Kanji,"次の漢字のよみかたを えらんで ください。

雨",この 漢字は なん と よみますか。,"[""\u3042\u3081"", ""\u3086\u304d"", ""\u307f\u305a"", ""\u304f\u3082\u308a""]",A,雨 (あめ) means rain.
Kanji,"次の漢字のよみかたを えらんで ください。

先生",この 漢字は なん と よみますか。,"[""\u305b\u3093\u305b\u3044"", ""\u304c\u304f\u305b\u3044"", ""\u3057\u3087\u304f\u3044\u3093"", ""\u3072\u3068""]",A,先生 (せんせい) means teacher.
Kanji,"次の漢字のよみかたを えらんで ください。

勉強",この 漢字は なん と よみますか。,"[""\u3079\u3093\u304d\u3087\u3046"", ""\u3057\u3054\u3068"", ""\u3084\u3059\u307f"", ""\u3042\u305d\u3073""]",A,勉強 (べんきょう) means study.
Vocabulary,"つぎの ことばと おなじ 意味の ことばを えらんで ください。

いろ",「いろ」はおなじ 意味の ことばは どれですか。,"[""\u8272"", ""\u6c34"", ""\u6728"", ""\u91d1""]",A,いろ (色) means color.
Vocabulary,"つぎの ことばと おなじ 意味の ことばを えらんで ください。

くだもの",「くだもの」はおなじ 意味の ことばは どれですか。,"[""\u679c\u7269"", ""\u91ce\u83dc"", ""\u8089"", ""\u9b5a""]",A,くだもの (果物) means fruit.
Vocabulary,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

りんごが ３（　）あります。",かぞりかた として 正しいのは どれですか。,"[""\u3053"", ""\u307b\u3093"", ""\u307e\u3044"", ""\u3064""]",A,Small round objects like apples use counter 'こ'.
Vocabulary,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

きょうは あついですね。アイスクリームが（　）です。",あつい ときに たべたい ものは どれですか。,"[""\u304a\u3044\u3057\u3044"", ""\u307e\u305a\u3044"", ""\u305f\u304b\u3044"", ""\u3075\u308b\u3044""]",A,おいしい means delicious.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

たくさん",「たくさん」は どんな 意味ですか。,"[""many"", ""few"", ""small"", ""big""]",A,たくさん means many/a lot.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

すこし",「すこし」は どんな 意味ですか。,"[""a little"", ""very"", ""not at all"", ""always""]",A,すこし means a little.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

だれ",「だれ」は どんな 意味ですか。,"[""who"", ""what"", ""where"", ""when""]",A,だれ means who.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

なに",「なに」は どんな 意味ですか。,"[""what"", ""who"", ""where"", ""how""]",A,なに means what.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

どこ",「どこ」は どんな 意味ですか。,"[""where"", ""who"", ""what"", ""when""]",A,どこ means where.
Vocabulary,"つぎの ことばの 意味を えらんで ください。

いつ",「いつ」は どんな 意味ですか。,"[""when"", ""where"", ""who"", ""why""]",A,いつ means when.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

わたし（　）がくせいです。",正しい 粒子（パーティクル）を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3067""]",A,は marks the topic of the sentence.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

これ（　）なんですか。",しつもん の 文（ぶん）に する 粒子を えらんで ください。,"[""\u306f"", ""\u304b"", ""\u3082"", ""\u306d""]",B,か makes the sentence a question.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

ごはん（　）たべます。",目的語（オブジェクト）を しめす 粒子を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3078""]",B,を marks the direct object.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

６時（　）おきます。",じかんを しめす 粒子を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3067""]",C,に marks specific time.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

バス（　）がっこうへ いきます。",手段（means）を しめす 粒子を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3067""]",D,で marks the means of transport.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

あした ともだち（　）あいます。",あう 相手に つける 粒子を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3068""]",C,に marks the target of meeting someone.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

いま なにを して いますか。
「ほんを（　）。」",いま おこなっている 動作を えらんで ください。,"[""\u3088\u307f\u307e\u3059"", ""\u3088\u3093\u3067 \u3044\u307e\u3059"", ""\u3088\u307f\u307e\u3057\u305f"", ""\u3088\u307f\u305f\u3044""]",B,〜ています indicates ongoing action.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

あしたは やすみです。（　）、あそびに いきましょう。",文と文を つなぐ ことばを えらんで ください。,"[""\u305d\u3057\u3066"", ""\u3067\u3059\u304b\u3089"", ""\u3057\u304b\u3057"", ""\u307e\u305f\u306f""]",B,ですから means therefore/so.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

この 本は おもしろ（　）です。",な形容詞（adj）の 形を えらんで ください。,"[""\u3044"", ""\u304f"", ""\u306a"", ""\u306b""]",C,な adjectives require 'な' before noun/desu.
Grammar,"つぎの ぶん の （　）に はいる ことばを えらんで ください。

りょうしん（　）はなします。",いっしょに 動作を する 相手（with）を えらんで ください。,"[""\u306f"", ""\u3092"", ""\u306b"", ""\u3068""]",D,と means with (someone).
Reading,"つぎの メールを よんで、しつもんに 答えて ください。

ゆうたさんへ
あしたの パーティーは ６じからです。
わたしの いえで します。
たべものは わたしが つくります。
飲みものは もって きて ください。

ともこ",パーティーは いつ ありますか。,"[""\u304d\u3087\u3046\u3067\u3059"", ""\u3042\u3057\u305f\u3067\u3059"", ""\u3042\u3055\u3063\u3066\u3067\u3059"", ""\u3089\u3044\u3057\u3085\u3046\u3067\u3059""]",B,The email says 'あした' (tomorrow).
Reading,"つぎの メールを よんで、しつもんに 答えて ください。

ゆうたさんへ
あしたの パーティーは ６じからです。
わたしの いえで します。
たべものは わたしが つくります。
飲みものは もって きて ください。

ともこ",パーティーは どこで ありますか。,"[""\u304c\u3063\u3053\u3046\u3067\u3059"", ""\u3068\u3082\u3053\u3055\u3093\u306e \u3046\u3061\u3067\u3059"", ""\u3086\u3046\u305f\u3055\u3093\u306e \u3046\u3061\u3067\u3059"", ""\u30ec\u30b9\u30c8\u30e9\u30f3\u3067\u3059""]",B,The email says 'わたしの いえで' (at my house).
Reading,"つぎの メールを よんで、しつもんに 答えて ください。

ゆうたさんへ
あしたの パーティーは ６じからです。
わたしの いえで します。
たべものは わたしが つくります。
飲みものは もって きて ください。

ともこ",ゆうたさんは なにを もって いきますか。,"[""\u305f\u3079\u3082\u306e"", ""\u98f2\u307f\u3082\u306e"", ""\u307b\u3093"", ""\u304b\u3070\u3093""]",B,The email asks to bring '飲みもの' (drinks).
